origin,destination,count
35218,35209,1
35215,35217,5
35209,35211,7
35114,35242,1
35213,35216,1
35234,35234,2
35244,35222,2
35209,35254,1
35243,35226,3
35217,35235,1
35205,35218,3
35210,35207,1
35233,35215,2
35228,35207,2
35205,35204,3
35222,35207,2
35206,35226,2
35244,35022,2
35204,35203,2
35094,35242,2
35210,35235,4
35094,35212,1
35204,35061,1
35217,35210,1
35007,35211,1
35235,35212,6
35216,35211,5
35209,35068,2
35222,35226,1
35235,35206,4
35235,35146,1
35209,35218,4
35203,35242,2
35173,35234,1
35212,35217,3
35212,35207,3
35235,35210,1
35211,35216,1
35209,35080,1
35004,35213,1
35226,35243,2
35211,35205,3
35064,35020,1
35213,35124,1
35226,35213,1
35226,35206,1
35124,35040,1
35020,35020,2
35242,35203,1
35209,35242,2
35234,35214,1
35206,35208,2
35226,35203,2
35071,35204,1
35244,35243,2
35206,35094,2
35217,35244,1
35094,35214,1
35124,35204,1
35222,35234,4
35242,35205,3
35208,35204,1
35217,35068,1
35223,35206,1
35234,35215,1
35126,35212,1
35212,35124,3
35118,35005,1
35205,35208,2
35203,35207,2
35206,35209,7
35094,35206,1
35205,35115,1
35244,35115,1
35205,35244,2
35203,35254,1
35212,35221,1
35124,35111,1
35243,35173,2
35124,35114,2
35214,35234,1
35233,35228,1
35212,35117,1
35064,35064,3
35203,35223,6
35226,35234,1
35203,35224,1
35094,35234,1
35023,35212,1
35209,35215,1
35071,35242,1
35226,35071,1
35204,35218,1
35222,35007,1
35094,35209,3
35064,35209,1
35210,35205,3
35205,35207,1
35207,35217,1
35208,35233,1
35217,35020,1
35213,35206,1
35215,35213,1
35244,35203,1
35094,35215,1
35212,35094,3
35212,35068,3
35234,35216,1
35210,35214,2
35005,35205,1
35209,35207,2
35217,35205,3
35071,35234,1
35004,35226,1
35064,35203,1
35173,35215,1
35223,35234,1
35212,35235,1
35004,35209,1
35215,35203,2
35214,35071,1
35235,35233,1
35043,35243,1
35207,35068,1
35203,35243,2
35094,35210,2
35223,35210,1
35212,35127,1
35217,35216,1
35124,35080,3
35226,35064,1
35254,35233,3
35234,35209,3
35206,35243,2
35244,35234,3
35235,35126,3
35214,35005,1
35071,35217,1
35211,35206,1
35242,35206,1
35203,35020,2
35205,35173,1
35094,35205,1
35222,35206,3
35235,35173,3
35007,35007,2
35206,35234,1
35007,35210,1
35216,35007,1
35209,35007,1
35223,35216,1
35064,35071,1
35080,35124,1
35206,35213,2
35218,35208,5
35071,35208,1
35064,35243,1
35244,35205,3
35020,35208,1
35068,35210,1
35244,35217,1
35209,35124,1
35233,35242,3
35043,35212,1
35146,35210,1
35244,35204,1
35124,35211,1
35204,35207,2
35226,35004,1
35210,35216,1
35216,35080,1
35203,35226,1
35226,35226,2
35127,35023,1
35218,35211,1
35208,35022,1
35233,35004,1
35043,35043,1
35221,35217,1
35211,35228,1
35207,35204,2
35226,35233,2
35215,35209,1
35203,35127,1
35206,35212,2
35064,35023,1
35007,35040,1
35213,35234,1
35208,35216,1
35206,35068,1
35115,35223,1
35022,35209,1
35094,35022,1
35234,35242,1
35222,35211,1
35209,35023,1
35212,35218,2
35218,35218,1
35204,35254,1
35229,35205,1
35243,35229,1
35244,35233,1
35223,35242,1
35004,35223,1
35207,35209,2
35242,35209,3
35207,35208,1
35020,35203,1
35221,35208,2
35226,35043,1
35206,35203,1
35233,35218,3
35068,35215,1
35205,35229,1
35128,35217,1
35242,35213,1
35233,35068,1
35224,35203,1
35243,35217,1
35204,35213,1
35124,35243,2
35022,35064,1
35204,35211,1
35124,35043,1
35221,35207,1
35218,35234,1
35217,35228,1
35124,35205,1
35022,35212,1
35222,35022,1
35234,35211,1
35215,35126,1
35221,35004,1
35223,35022,1
35224,35022,1
35211,35207,1
35040,35210,1
35204,35235,1
35128,35124,1
35214,35204,1
35214,35243,1
35224,35214,1
35234,35205,1
35216,35235,1
